2014,Level 1,99999,All industries,Dollars (millions),H12,Salaries and wages paid,Financial performance,"83,282","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars (millions),H13,Redundancy and severance,Financial performance,285,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars (millions),H14,Salaries and wages to self employed commission agents,Financial performance,"1,597","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,"353,820","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars (millions),H20,Non-operating expenses,Financial performance,"9,242","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars (millions),H21,Opening stocks,Financial performance,"50,930","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars (millions),H22,Closing stocks,Financial performance,"52,948","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars (millions),H23,Surplus before income tax,Financial performance,"69,199","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars (millions),H24,Total assets,Financial position,"1,723,305","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars (millions),H25,Current assets,Financial position,"510,134","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars (millions),H26,Fixed tangible assets,Financial position,"385,823","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars (millions),H29,Other assets,Financial position,"827,347","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars (millions),H30,Total equity and liabilities,Financial position,"1,723,305","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"548,124","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars (millions),H32,Current liabilities,Financial position,"655,466","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars (millions),H33,Other liabilities,Financial position,"519,715","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars,H34,Total income per employee count,Financial ratios,"353,900","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Dollars,H35,Surplus per employee count,Financial ratios,"42,700","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Percentage,H36,Current ratio,Financial ratios,78,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Percentage,H37,Quick ratio,Financial ratios,70,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Percentage,H39,Return on equity,Financial ratios,13,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Percentage,H40,Return on total assets,Financial ratios,4,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,99999,All industries,Percentage,H41,Liabilities structure,Financial ratios,32,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H01,Total income,Financial performance,"38,899",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H04,Sales of goods and services,Financial performance,"36,587",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H05,"Interest, dividends and donations",Financial performance,388,ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,8,ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H07,Non-operating income,Financial performance,"1,916",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H08,Total expenditure,Financial performance,"32,208",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H09,Interest and donations,Financial performance,"2,798",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H10,Indirect taxes,Financial performance,421,ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H11,Depreciation,Financial performance,"1,605",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H12,Salaries and wages paid,Financial performance,"4,362",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H13,Redundancy and severance,Financial performance,C,ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H19,Purchases and other operating expenses,Financial performance,"22,605",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H20,Non-operating expenses,Financial performance,415,ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H21,Opening stocks,Financial performance,"13,236",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H22,Closing stocks,Financial performance,"13,388",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H23,Surplus before income tax,Financial performance,"6,843",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H24,Total assets,Financial position,"141,138",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H25,Current assets,Financial position,"26,522",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H26,Fixed tangible assets,Financial position,"79,480",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H29,Other assets,Financial position,"35,136",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H30,Total equity and liabilities,Financial position,"141,138",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"67,743",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H32,Current liabilities,Financial position,"22,870",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H33,Other liabilities,Financial position,"50,525",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars,H34,Total income per employee count,Financial ratios,"373,900",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars,H35,Surplus per employee count,Financial ratios,"65,800",ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage,H36,Current ratio,Financial ratios,116,ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage,H37,Quick ratio,Financial ratios,57,ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage,H39,Return on equity,Financial ratios,10,ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage,H40,Return on total assets,Financial ratios,5,ANZSIC06 division A
2014,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage,H41,Liabilities structure,Financial ratios,48,ANZSIC06 division A
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H01,Total income,Financial performance,"3,441","ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,"3,284","ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,45,"ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H07,Non-operating income,Financial performance,112,"ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H08,Total expenditure,Financial performance,"2,954","ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H09,Interest and donations,Financial performance,191,"ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H10,Indirect taxes,Financial performance,32,"ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H11,Depreciation,Financial performance,159,"ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H12,Salaries and wages paid,Financial performance,574,"ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H13,Redundancy and severance,Financial performance,0,"ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,"1,976","ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H20,Non-operating expenses,Financial performance,22,"ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H21,Opening stocks,Financial performance,275,"ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H22,Closing stocks,Financial performance,302,"ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H23,Surplus before income tax,Financial performance,513,"ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H24,Total assets,Financial position,"9,893","ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H25,Current assets,Financial position,"1,848","ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H26,Fixed tangible assets,Financial position,"6,759","ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H29,Other assets,Financial position,"1,287","ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H30,Total equity and liabilities,Financial position,"9,893","ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"4,029","ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H32,Current liabilities,Financial position,"2,606","ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H33,Other liabilities,Financial position,"3,258","ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars,H34,Total income per employee count,Financial ratios,"145,900","ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Dollars,H35,Surplus per employee count,Financial ratios,"21,800","ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H36,Current ratio,Financial ratios,71,"ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H37,Quick ratio,Financial ratios,59,"ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H39,Return on equity,Financial ratios,13,"ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H40,Return on total assets,Financial ratios,5,"ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H41,Liabilities structure,Financial ratios,41,"ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H01,Total income,Financial performance,"3,441","ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,"3,284","ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,45,"ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H07,Non-operating income,Financial performance,112,"ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H08,Total expenditure,Financial performance,"2,954","ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H09,Interest and donations,Financial performance,191,"ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H10,Indirect taxes,Financial performance,32,"ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H11,Depreciation,Financial performance,159,"ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H12,Salaries and wages paid,Financial performance,574,"ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H13,Redundancy and severance,Financial performance,0,"ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,"1,976","ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H20,Non-operating expenses,Financial performance,22,"ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H21,Opening stocks,Financial performance,275,"ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H22,Closing stocks,Financial performance,302,"ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H23,Surplus before income tax,Financial performance,513,"ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H24,Total assets,Financial position,"9,893","ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H25,Current assets,Financial position,"1,848","ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H26,Fixed tangible assets,Financial position,"6,759","ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H29,Other assets,Financial position,"1,287","ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H30,Total equity and liabilities,Financial position,"9,893","ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"4,029","ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H32,Current liabilities,Financial position,"2,606","ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H33,Other liabilities,Financial position,"3,258","ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars,H34,Total income per employee count,Financial ratios,"145,900","ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Dollars,H35,Surplus per employee count,Financial ratios,"21,800","ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H36,Current ratio,Financial ratios,71,"ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H37,Quick ratio,Financial ratios,59,"ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H39,Return on equity,Financial ratios,13,"ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H40,Return on total assets,Financial ratios,5,"ANZSIC06 groups A011, A012, and A013"
2014,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H41,Liabilities structure,Financial ratios,41,"ANZSIC06 groups A011, A012, and A013"
2014,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H01,Total income,Financial performance,"9,720",ANZSIC06 groups A014 and A015
2014,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,"8,972",ANZSIC06 groups A014 and A015
2014,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H05,"Interest, dividends and donations",Financial performance,C,ANZSIC06 groups A014 and A015
2014,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H07,Non-operating income,Financial performance,C,ANZSIC06 groups A014 and A015
2014,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H08,Total expenditure,Financial performance,"8,213",ANZSIC06 groups A014 and A015
2014,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H09,Interest and donations,Financial performance,640,ANZSIC06 groups A014 and A015
2014,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H10,Indirect taxes,Financial performance,163,ANZSIC06 groups A014 and A015
2014,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H11,Depreciation,Financial performance,436,ANZSIC06 groups A014 and A015
2014,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H12,Salaries and wages paid,Financial performance,838,ANZSIC06 groups A014 and A015
2014,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H13,Redundancy and severance,Financial performance,0,ANZSIC06 groups A014 and A015
2014,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H19,Purchases and other operating expenses,Financial performance,"6,074",ANZSIC06 groups A014 and A015
2014,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H20,Non-operating expenses,Financial performance,63,ANZSIC06 groups A014 and A015
2014,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H21,Opening stocks,Financial performance,"4,906",ANZSIC06 groups A014 and A015
2014,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H22,Closing stocks,Financial performance,"4,981",ANZSIC06 groups A014 and A015
